question,answers,topic
Describe the features of the pathogen that causes Alternaria rot in chilli plants.,"The pathogen responsible for Alternaria rot in chilli plants exhibits septate and branched hyphae, initially light brown but darkening with age. These hyphae are present both inside and outside the plant cells. Conidiophores emerge through stomata, and the conidia they produce are single and muriform.",disease
How does Mango malformation proliferate within mango orchards?,Mango malformation proliferates within mango orchards primarily through diseased propagative materials.,disease
What are the symptoms of Leaf Curl Disease caused by Tomato Leaf Curl Virus (ToLCV) in tomato plants?,"Symptoms include severe stunting of plants, downward rolling and crinkling of leaves, slight yellowing of newly emerging leaves followed by curling, leathery and brittle older leaves, reduction in size of nodes and internodes, pale appearance of plants, increased lateral branching giving a bushy appearance, and overall stunted growth of infected plants.",disease
which kind of GM varieties release protein to control pest.,bacterium Bacillus thuringiensis,disease
How does the Bitter rot fungus survive and spread in Apple trees?,"The Bitter rot fungus overwinters in mummified fruit, cracks and crevices in bark, and in cankers produced by the Bitter rot fungus or by other diseases, such as fire blight. It can also inhabit jagged edges of broken limbs. The fungus can penetrate unbroken skin of fruit, with waterborne spores released during rainfall throughout the growing season. Factors such as fruit maturity, temperature, humidity, and disease presence in the area determine the time of appearance of Bitter rot.",disease
How does Pythium aphanidermatum differ from other pathogens affecting chilli plants?,"Pythium aphanidermatum is characterized by its hyaline mycelium, lobed and branched zoosporangia, and aplerotic, single oospores with thick walls, distinguishing it from other pathogens affecting chilli plants.",disease
what spreads Cassava Mosaic Disease (CMD),whitefly,disease
What is the mode of transmission for Banana Bunchy Top virus?,"The mode of transmission for Banana Bunchy Top virus involves primarily infected suckers, with secondary spread occurring through the aphid vector Pentalonia nigronervosa.",disease
"What are the key characteristics of Pythium aphanidermatum, the pathogen causing damping off in chilli plants?","The mycelium is hyaline, coenocytic, and zoosporangia are lobed and branched. Zoospores are biflagellate, and oogonia are spherical with smooth walls. Antheridia are monoclinous, intercalary, or terminal. Oospores are aplerotic, single with a thick wall.",disease
What are the symptoms of Scab on Apple leaves and fruits?,"Scab symptoms on Apple leaves include olivaceous spots on the lower side, which turn dark brown to black and become velvety. On young foliage, the spots have a radiating appearance with a feathery edge. On older leaves, the lesions are more definite in outline, forming a convex surface with a corresponding concave area on the opposite side. Scab symptoms on Apple fruits include small, rough, black circular lesions, with the center becoming corky, and a yellow halo seen around mature lesions.",disease
What management practices can be implemented to control Scab/Verucosis in citrus orchards?,"Effective management of Scab/Verucosis in citrus orchards involves implementing several practices. Diseased leaves, twigs, and fruits should be promptly collected and destroyed to prevent further spread of the disease. Additionally, spraying Carbendazim 0.1% has been found to be quite effective in controlling the disease. Implementing these management practices can help reduce the incidence and severity of Scab/Verucosis in citrus orchards.",disease
what are some of the disease prevention strategies that farmers can use.,"vaccination programs, quarantine protocols, and biosecurity measures",disease
What are the characteristics of the pathogen causing soft rot in potato plants?,The pathogen causing soft rot in potato plants is Erwinia carotovora subsp. caratovora. It is a gram-negative rod-shaped bacterium with 1 to 6 peritrichous flagella.,disease
name the symptoms of cassava whitefly.,"wilting, yellowing of leaves, and stunted growth",disease
"What disease affects Apple trees, causing water-soaked leaves and blackened twigs?","Fire blight, caused by Erwinia amylovora, is the disease that affects Apple trees, leading to symptoms such as water-soaked leaves, blackened twigs, and wilting of terminal branches.",disease
What are the common pests and diseases that affect guava trees?,"Common pests affecting guava trees include fruit flies, mealybugs, scales, and aphids, while diseases such as anthracnose, powdery mildew, and bacterial wilt are prevalent. Integrated pest management (IPM) strategies encompassing cultural, biological, and chemical control methods are employed to mitigate the impact of pests and diseases on guava trees.",disease
"What is the recommended timing for pruning citrus trees, and what are the goals of pruning?","Pruning of citrus trees is ideally performed in late winter or early spring, prior to the onset of new growth. The objectives of pruning include shaping the tree, eliminating dead or diseased branches, and enhancing air circulation within the canopy.",disease
